,,,,,,,,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES ("
1131,1,2,6,14,27,38,33,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1131,1,2,6,14,27,38,38, current_timestamp);"
1130,15,19,21,25,27,28,40,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1130,15,19,21,25,27,28,28, current_timestamp);"
1129,5,10,11,17,28,34,22,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1129,5,10,11,17,28,34,34, current_timestamp);"
1128,1,5,8,16,28,33,45,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1128,1,5,8,16,28,33,33, current_timestamp);"
1127,10,15,24,30,31,37,32,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1127,10,15,24,30,31,37,37, current_timestamp);"
1126,4,5,9,11,37,40,7,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1126,4,5,9,11,37,40,40, current_timestamp);"
1125,6,14,25,33,40,44,30,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1125,6,14,25,33,40,44,44, current_timestamp);"
1124,3,8,17,30,33,34,28,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1124,3,8,17,30,33,34,34, current_timestamp);"
1123,13,19,21,24,34,35,26,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1123,13,19,21,24,34,35,35, current_timestamp);"
1122,3,6,21,30,34,35,22,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1122,3,6,21,30,34,35,35, current_timestamp);"
1121,6,24,31,32,38,44,8,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1121,6,24,31,32,38,44,44, current_timestamp);"
1120,2,19,26,31,38,41,34,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1120,2,19,26,31,38,41,41, current_timestamp);"
1119,1,9,12,13,20,45,3,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1119,1,9,12,13,20,45,45, current_timestamp);"
1118,11,13,14,15,16,45,3,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1118,11,13,14,15,16,45,45, current_timestamp);"
1117,3,4,9,30,33,36,7,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1117,3,4,9,30,33,36,36, current_timestamp);"
